MS_system,Package,SQ reliability remediation effort,Security rating,Critical violations,Violations,Sqale rating,Cognitive complexity,Minor violations,Info violations,Security remediation effort,SQ maintainability remediation effort,Security hotspots,Effort to reach rating A,Duplicated blocks,Reliability remediation effort,Reliability rating,Code smells,SQ security remediation effort,Bugs,Major violations
piggymetrics,com.piggymetrics.account.config,0,1.0,0,0,1.0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,0
piggymetrics,com.piggymetrics.notification.config,0,1.0,0,0,1.0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,0
piggymetrics,com.piggymetrics.auth.config,0,1.0,3,7,1.0,0,2,1,0,35,1,0,0,0,1.0,7,0,0,1
piggymetrics,com.piggymetrics.statistics.config,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
piggymetrics,com.piggymetrics.account.controller,0,1.0,0,2,1.0,0,0,2,0,0,0,0,0,0,1.0,2,0,0,0
piggymetrics,com.piggymetrics.notification.controller,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
piggymetrics,com.piggymetrics.auth.controller,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
piggymetrics,com.piggymetrics.statistics.controller,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
piggymetrics,com.piggymetrics.notification.repository.converter,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
piggymetrics,com.piggymetrics.statistics.repository.converter,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
piggymetrics,com.piggymetrics.account.domain,0,1.0,0,0,1.0,0,0,0,0,0,0,0,4,0,1.0,0,0,0,0
piggymetrics,com.piggymetrics.notification.domain,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
piggymetrics,com.piggymetrics.auth.domain,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
piggymetrics,com.piggymetrics.statistics.domain,5,1.0,0,1,1.0,3,0,0,0,0,0,0,4,5,3.0,0,0,1,1
piggymetrics,com.piggymetrics.config,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
piggymetrics,com.piggymetrics.gateway,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
piggymetrics,com.piggymetrics.account,0,1.0,1,5,1.0,9,0,2,0,18,0,0,6,0,1.0,5,0,0,2
piggymetrics,com.piggymetrics.auth,0,1.0,3,7,1.0,0,2,1,0,35,1,0,0,0,1.0,7,0,0,1
piggymetrics,com.piggymetrics.monitoring,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
piggymetrics,com.piggymetrics.notification,0,1.0,0,2,1.0,10,0,0,0,40,0,0,1,0,1.0,2,0,0,2
piggymetrics,com.piggymetrics.statistics,5,1.0,1,4,1.0,14,0,0,0,18,0,0,5,5,3.0,3,0,1,3
piggymetrics,com.piggymetrics.turbine,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
piggymetrics,com.piggymetrics.account.repository,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
piggymetrics,com.piggymetrics.notification.repository,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
piggymetrics,com.piggymetrics.auth.repository,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
piggymetrics,com.piggymetrics.statistics.repository,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
piggymetrics,com.piggymetrics.account.service.security,0,1.0,1,3,1.0,9,0,0,0,18,0,0,1,0,1.0,3,0,0,2
piggymetrics,com.piggymetrics.auth.service.security,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
piggymetrics,com.piggymetrics.statistics.service.security,0,1.0,1,3,1.0,9,0,0,0,18,0,0,1,0,1.0,3,0,0,2
piggymetrics,com.piggymetrics.account.service,0,1.0,1,3,1.0,9,0,0,0,18,0,0,1,0,1.0,3,0,0,2
piggymetrics,com.piggymetrics.notification.service,0,1.0,0,2,1.0,10,0,0,0,40,0,0,0,0,1.0,2,0,0,2
piggymetrics,com.piggymetrics.auth.service,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
piggymetrics,com.piggymetrics.statistics.service,0,1.0,1,3,1.0,11,0,0,0,18,0,0,1,0,1.0,3,0,0,2
piggymetrics,com.piggymetrics.registry,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
piggymetrics,com.piggymetrics.statistics.domain.timeseries,0,1.0,0,0,1.0,3,0,0,0,0,0,0,0,0,1.0,0,0,0,0
java-microservice,com.apssouza.eventsourcing.aggregates,0,1.0,1,14,1.0,10,0,0,0,193,0,0,0,0,1.0,14,0,0,13
java-microservice,com.apssouza.annotations,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
java-microservice,com.apssouza.auth,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
java-microservice,com.apssouza.bootstrap,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
java-microservice,com.apssouza.bootstrap,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
java-microservice,com.apssouza.clients,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
java-microservice,com.apssouza.clients,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
java-microservice,com.apssouza.eventsourcing.commands,0,1.0,0,1,1.0,0,1,0,0,1,0,0,0,0,1.0,1,0,0,0
java-microservice,com.apssouza.configuration,0,1.0,0,1,1.0,0,1,0,0,2,1,0,0,0,1.0,1,0,0,0
java-microservice,com.apssouza.configuration,0,1.0,0,3,1.0,1,0,0,0,30,0,0,0,0,1.0,3,0,0,3
java-microservice,com.apssouza.configuration,0,1.0,0,1,1.0,0,0,0,0,5,0,0,0,0,1.0,1,0,0,1
java-microservice,com.apssouza.configuration,0,1.0,0,1,1.0,0,0,0,0,1,0,0,0,0,1.0,1,0,0,1
java-microservice,com.apssouza.mailservice.configurations,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
java-microservice,com.apssouza.mailservice.controllers,0,1.0,0,1,1.0,3,0,0,0,5,0,0,0,0,1.0,1,0,0,1
java-microservice,com.apssouza.controllers,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
java-microservice,com.apssouza.controllers,0,1.0,0,2,1.0,3,1,1,0,5,0,0,0,0,1.0,2,0,0,0
java-microservice,com.apssouza.controllers,0,1.0,0,2,1.0,1,2,0,0,10,0,0,0,0,1.0,2,0,0,0
java-microservice,com.apssouza.eventsourcing.entities,0,1.0,0,1,1.0,0,0,0,0,10,0,0,2,0,1.0,1,0,0,1
java-microservice,com.apssouza.entities,0,1.0,1,4,1.0,6,3,0,0,36,0,0,1,0,1.0,4,0,0,0
java-microservice,com.apssouza.entities,0,1.0,0,0,1.0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,0
java-microservice,com.apssouza.eventsourcing.events,0,1.0,1,11,1.0,0,5,0,0,38,0,0,2,0,1.0,11,0,0,1
java-microservice,com.apssouza.events,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
java-microservice,com.apssouza.eventsourcing,0,1.0,2,34,1.0,12,8,0,0,305,0,0,4,0,1.0,34,0,0,20
java-microservice,com.apssouza.eventsourcing.eventstore,0,1.0,0,2,1.0,2,0,0,0,40,0,0,0,0,1.0,2,0,0,2
java-microservice,com.apssouza.exceptions,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
java-microservice,com.apssouza.exceptions,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
